Ticker,Category,CompanyName,Exchange
DLOV,Independent Oil & Gas,Daleco Resources Corp.,PNK
DLPH,Auto Parts,Delphi Automotive PLC,NYQ
DLPM,Internet Information Providers,"Development Capital Group, Inc.",PNK
DLR,REIT - Office,"Digital Realty Trust, Inc.",NYQ
DLTR,"Discount, Variety Stores","Dollar Tree, Inc.",NMS
DLTZ,Internet Service Providers,Delta International Oil & Gas Inc.,PNK
DLX,Business Services,Deluxe Corporation,NYQ
DLYT,Conglomerates,Dais Analytic Corporation,PNK
DM,Oil & Gas Pipelines,"Dominion Energy Midstream Partners, LP",NYQ
DMLP,Diversified Investments,"Dorchester Minerals, L.P.",NMS
DMRC,Information Technology Services,Digimarc Corporation,NMS
DNB,Information & Delivery Services,The Dun & Bradstreet Corporation,NYQ
DNBF,Regional - Mid-Atlantic Banks,DNB Financial Corporation,NCM
DNKN,Restaurants,"Dunkin' Brands Group, Inc.",NMS
DNN,Industrial Metals & Minerals,Denison Mines Corp.,ASE
DNOW,Oil & Gas Equipment & Services,NOW Inc.,NYQ
DNR,Independent Oil & Gas,Denbury Resources Inc.,NYQ
DO,Oil & Gas Drilling & Exploration,"Diamond Offshore Drilling, Inc.",NYQ
DOC,REIT - Healthcare Facilities,Physicians Realty Trust,NYQ
DOMK,Consumer Services,"DoMark International, Inc.",PNK
DOOR,General Building Materials,Masonite International Corporation,NYQ
DORM,Auto Parts,"Dorman Products, Inc.",NMS
DOV,Diversified Machinery,Dover Corporation,NYQ
DOW,Chemicals - Major Diversified,The Dow Chemical Company,NYQ
DOX,Business Software & Services,Amdocs Limited,NMS
DPDM,Application Software,"Dolphin Digital Media, Inc.",PNK
DPDW,Oil & Gas Equipment & Services,"Deep Down, Inc.",PNK
DPLO,Drugs - Generic,"Diplomat Pharmacy, Inc.",NYQ
DPS,Beverages - Soft Drinks,"Dr Pepper Snapple Group, Inc.",NYQ
DPSI,Application Software,"Decisionpoint Systems, Inc.",PNK
DPSM,Conglomerates,"3D Pioneer Systems, Inc.",PNK
DPW,Diversified Electronics,Digital Power Corporation,ASE
DPWW,Property Management,"Diego Pellicer Worldwide, Inc.",PNK
DPZ,Restaurants,"Domino's Pizza, Inc.",NYQ
DQ,Semiconductor Equipment & Materials,Daqo New Energy Corp.,NYQ
DRAD,Medical Appliances & Equipment,Digirad Corporation,NGM
DRD,Gold,DRDGOLD Limited,NYQ
DRE,REIT - Industrial,Duke Realty Corporation,NYQ
DRH,REIT - Hotel/Motel,DiamondRock Hospitality Company,NYQ
DRI,Restaurants,"Darden Restaurants, Inc.",NYQ
DRIO,Medical Laboratories & Research,DarioHealth Corp.,NCM
DRNA,Biotechnology,"Dicerna Pharmaceuticals, Inc.",NMS
DRQ,Oil & Gas Equipment & Services,"Dril-Quip, Inc.",NYQ
DRRX,Drug Manufacturers - Other,DURECT Corporation,NGM
DRSV,Business Services,"Debt Resolve, Inc.",PNK
DRYS,Shipping,DryShips Inc.,NCM
DSFN,Regional - Midwest Banks,DSA Financial Corporation,PNK
DSPG,Semiconductor - Integrated Circuits,"DSP Group, Inc.",NMS
DSS,Business Services,"Document Security Systems, Inc.",ASE
DST,Business Software & Services,"DST Systems, Inc.",NYQ
DSW,Apparel Stores,DSW Inc.,NYQ
DSWL,Rubber & Plastics,"Deswell Industries, Inc.",NGM
DSX,Shipping,Diana Shipping Inc.,NYQ
DTE,Electric Utilities,DTE Energy Company,NYQ
DTGI,Wireless Communications,"Digerati Technologies, Inc.",PNK
DTST,Security Software & Services,Data Storage Corporation,PNK
DUK,Electric Utilities,Duke Energy Corporation,NYQ
DVA,Specialized Health Services,DaVita Inc.,NYQ
DVAX,Biotechnology,Dynavax Technologies Corporation,NCM
DVCR,Long-Term Care Facilities,"Diversicare Healthcare Services, Inc.",NCM
DVD,Sporting Activities,"Dover Motorsports, Inc.",NYQ
DVLY,Manufactured Housing,Deer Valley Corporation,PNK
DVN,Independent Oil & Gas,Devon Energy Corporation,NYQ
DWCH,Business Software & Services,Datawatch Corporation,NCM
DWSN,Oil & Gas Equipment & Services,Dawson Geophysical Company,NMS
DX,REIT - Residential,"Dynex Capital, Inc.",NYQ
DXCM,Medical Laboratories & Research,"DexCom, Inc.",NMS
DXLG,Apparel Stores,"Destination XL Group, Inc.",NMS
